打开	to open	dǎkāi	请 你 打开 门	qǐng nǐ dǎkāi mén	Please open the door.
玩笑	joke	wánxiào	他 喜欢 开玩笑	tā xǐhuan kāiwánxiào	He likes to make jokes.
任务	task; mission	rènwu	这 是 一 个 很 重要 的 任务	zhè shì yī gè hěn zhòngyào de rènwu	This is a very important task.
现场	scene; site	xiànchǎng	警察 到 了 现场	jǐngchá dào le xiànchǎng	The police arrived at the scene.
转	to turn; to transfer	zhuǎn	请 你 向 右 转	qǐng nǐ xiàng yòu zhuǎn	Please turn right.
博士	doctor (academic title)	bóshì	他 是 一 位 数学 博士	tā shì yī wèi shùxué bóshì	He is a doctor of mathematics.
直到	until	zhídào	我 学习 汉语 直到 晚上 十 点	wǒ xuéxí Hànyǔ zhídào wǎnshang shí diǎn	I studied Chinese until ten o'clock at night.
紧张	nervous; tense	jǐnzhāng	我 考试 的 时候 很 紧张	wǒ kǎoshì de shíhou hěn jǐnzhāng	I get very nervous when I take exams.
简直	simply; virtually	jiǎnzhí	这 简直 太 好 了	zhè jiǎnzhí tài hǎo le	This is simply too good.
放弃	to give up; to abandon	fàngqì	不要 放弃，你 可以 做 到	bùyào fàngqì, nǐ kěyǐ zuò dào	Don't give up, you can do it.
小子	boy; kid	xiǎozi	 看 那个 小子 在 玩	kàn nà gè xiǎozi zài wán	Look that kid playing.
强	strong; powerful	qiáng	他 很 强 ， 可以 拿 很 重 的 东西	tā hěn qiáng, kěyǐ ná hěn zhòng de dōngxi	He is very strong, he can lift very heavy things.
不好意思	to feel embarrassed; sorry	bùhǎoyìsi	不好意思 ， 我 迟到 了	bùhǎoyìsi, wǒ chídào le	Sorry, I'm late.
大概	probably; approximately	dàgài	他 大概 不会 来 了	tā dàgài bùhuì lái le	He probably won't come.
的确	indeed; really	díquè	这 的确 是 一 个 好 问题	zhè díquè shì yī gè hǎo wèntí	This is indeed a good question.
特	special; especially	tè	这 个 苹果 特 甜	zhè ge píngguǒ tè tián	This apple is especially sweet.
血	blood	xuè	他 的 手 上 有 血	tā de shǒu shàng yǒu xuè	There is blood on his hand.
方式	way; method	fāngshì	这 是 一 个 好 的 学习 方式	zhè shì yī gè hǎo de xuéxí fāngshì	This is a good way of learning.
伤	wound; injury	shāng	他 的 伤 还 没有 好	tā de shāng hái méiyǒu hǎo.	His injury hasn’t healed yet.
怪	strange; to blame	guài	这 很 奇怪	zhè hěn qíguài	This is very strange.(Duplicate of 奇怪 in "words with sentences.csv")
美元	U.S. dollar	Měiyuán	这 个 东西 十 美元	zhè ge dōngxi shí Měiyuán	This thing is ten U.S. dollars.
监狱	prison	jiānyù	他 被 送进 了 监狱	tā bèi sòngjìn le jiānyù	He was sent to prison.
重新	again; anew	chóngxīn	请 你 重新 说 一遍	qǐng nǐ chóngxīn shuō yībiàn	Please say it again.
瞧	look; see	qiáo	瞧 ， 他 来 了	qiáo, tā lái le	Look, he's coming.
疯狂	crazy; insane	fēngkuáng	他 太 疯狂 了	tā tài fēngkuáng le	He's too crazy.
收到	to receive	shōudào	我 收到 了 你 的 邮件	wǒ shōudào le nǐ de yóujiàn	I received your email.
其中	among them; in it	qízhōng	我 喜欢 水果 ， 其中 最 喜欢 苹果	wǒ xǐhuan shuǐguǒ, qízhōng zuì xǐhuan píngguǒ	I like fruit, among which I like apples the most.
片	(measure word for slices, tablets, etc.); film	piàn	我 想 看 一 片 电影	wǒ xiǎng kàn yī piàn diànyǐng	I'd like to watch a movie.
想法	idea; opinion	xiǎngfǎ	我 有 一 个 新 的 想法	wǒ yǒu yī gè xīn de xiǎngfǎ	I have a new idea.
纽约	New York	Niǔyuē	我 的 朋友 住 在 纽约	wǒ de péngyou zhù zài Niǔyuē	My friend lives in New York.
性	sex; nature; -ness	xìng	我 喜欢 这 个 东西 的 颜色 和 个性	wǒ xǐhuan zhège dōngxī de yánsè hé gèxìng	I like the color and style of this thing.
带来	to bring	dàilái	我 给 你 带来 了 一 个 礼物	wǒ gěi nǐ dàilái le yī gè lǐwù	I brought you a gift.
抓住	to catch; to grab	zhuāzhù	警察 抓住 了 他	jǐngchá zhuāzhù le tā	The police caught him.
记录	record; to take notes	jìlù	请 你 记录 一下	qǐng nǐ jìlù yīxià	Please take notes.
点儿	a little bit	diǎnr	我 会 说 一点儿 汉语	wǒ huì shuō yīdiǎnr Hànyǔ	I can speak a little Chinese.(Duplicate of 一点 and 有点)
来自	to come from	láizì	我 来自 中国	wǒ láizì Zhōngguó	I come from China.
大学	university; college	dàxué	我 在 大学 学习	wǒ zài dàxué xuéxí	I study at university.
太太	Mrs.; wife	tàitai	王 太太 ， 你 好	Wáng tàitai, nǐhǎo	Hello, Mrs. Wang.
本来	originally; at first	běnlái	我 本来 想 去 ， 但是 我 没 时间	wǒ běnlái xiǎng qù, dànshì wǒ méi shíjiān	I originally wanted to go, but I didn't have time.
加油	to cheer on; to make an extra effort	jiāyóu	加油 ， 你 可以 的	jiāyóu, nǐ kěyǐ de	Cheer up, you can do it.
实际上	in fact; actually	shíjìshang	实际上 ， 我 不 喜欢 这 个	shíjìshang, wǒ bù xǐhuan zhè ge	Actually, I don't like this.
怕	to be afraid of; to fear	pài	我 不怕	wǒ bú pài	I am not afraid.
多久	how long	duōjiǔ	你 要 等 多久	nǐ yào děng duōjiǔ	How long will you wait?
并且	and; besides	bìngqiě	我 喜欢 唱歌 并且 跳舞	wǒ xǐhuan chànggē bìngqiě tiàowǔ	I like to sing and dance.
直接	direct; directly	zhíjiē	请 你 直接 告诉 我	qǐng nǐ zhíjiē gàosu wǒ	Please tell me directly.
对于	for; to; with regard to	duìyú	对于 这 个 问题 ， 我 不 知道	duìyú zhè ge wèntí, wǒ bù zhīdào	Regarding this question, I don't know.
啥	what (colloquial)	shá	你 说 啥	nǐ shuō shá	What did you say?
开枪	to fire a gun	kāiqiāng	警察 开枪 了	jǐngchá kāiqiāng le	The police fired their guns.
声	sound; voice	shēng	我 听到 了 一 个 声音	wǒ tīngdào le yī gè shēngyīn	I heard a sound.
除非	unless; only if	chúfēi	除非 你 帮助 我 ， 否则 我 不会 成功	chúfēi nǐ bāngzhù wǒ, fǒuzé wǒ bùhuì chénggōng	Unless you help me, I will not succeed.
集	episode; part; collection	jí	这 是 这 本 书 的 第一集	zhè shì zhè běn shū de dì yī jí	This is the first episode of this book.
酷	cool (loanword)	kù	这 个 很 酷	zhè ge hěn kù	This is very cool.
正常	normal; regular	zhèngcháng	这 很 正常	zhè hěn zhèngcháng	This is very normal.
死亡	death; to die	sǐwáng	他 的 狗 死亡 了	tā de gǒu sǐwáng le	His dog died.
拥有	to possess; to have	yǒngyǒu	我 拥有 一 个 幸福 的 家庭	wǒ yǒngyǒu yī gè xìngfú de jiātíng	I have a happy family.
警	police; to warn	jǐng	警察 来 了	jǐngchá lái le	The police are coming.
付	to pay	fù	我 付钱	wǒ fùqián	I'll pay.
派对	party	pàiduì	我 喜欢 参加 派对	wǒ xǐhuan cānjiā pàiduì	I like to attend parties.
遍	time (frequency); all over	biàn	请 你 再 说 一遍	qǐng nǐ zài shuō yībiàn	Please say it again.
步	step; pace	bù	请 你 走 一步	qǐng nǐ zǒu yībù	Please take a step.
不再	no longer	bùzài	我 不再 爱 你 了	wǒ bùzài ài nǐ le	I don't love you anymore.
鬼	ghost; devil	guǐ	我 不 相信 有 鬼	wǒ bù xiāngxìn yǒu guǐ	I don't believe in ghosts.
傻	foolish; stupid	shǎ	你 真 傻	nǐ zhēn shǎ	You are so stupid.
阻止	to prevent; to stop	zǔzhǐ	请 你 阻止 他	qǐng nǐ zǔzhǐ tā	Please stop him.
想象	to imagine; imagination	xiǎngxiàng	我 无法 想象	wǒ wúfǎ xiǎngxiàng	I can't imagine.
冷静	calm; cool-headed	lěngjìng	请 你 冷静	qǐng nǐ lěngjìng	Please calm down.
犯	to commit (a crime); criminal	fàn	他 犯 了 一 个 错误	tā fàn le yī gè cuòwù	He committed a mistake.
扔	to throw; to toss	rēng	请 你 把 这 个 扔 了	qǐng nǐ bǎ zhè ge rēng le	Please throw this away.
能力	ability; capability	nénglì	我 有 能力 帮助 你	wǒ yǒu nénglì bāngzhù nǐ	I have the ability to help you.
完美	perfect	wánměi	这 很 完美	zhè hěn wánměi	This is perfect.
克	gram; to overcome	kè	这 个 苹果 二百 克	zhè ge píngguǒ èrbǎi kè	This apple is two hundred grams.
目标	goal; target	mùbiāo	我 的 目标 是 学好 汉语	wǒ de mùbiāo shì xuéhǎo Hànyǔ	My goal is to learn Chinese well.
耶	yeah	yē	耶！我们 的 队 赢 了 篮球 比赛！	yé! Wǒmen de duì yíngle lánqiú bǐsài!	Yeah! Our team won the basketball game!
有关	about	yǒu guān	这是 有关 一个 女人 和 她 的 猫 的 电影	Zhè shì yǒuguān yīgè nǚrén hé tā de māo de diànyǐng	This is a movie about a woman and her cat.
精神	spirit; mind	jīng shén	他 工作 了 一天，看 上去 没有 精神。	tā gōngzuò le yītiān, kànshangqu méiyǒu jīngshén	He worked all day and looks like he has no energy.
另外	in addition	lìng wài	我 没有 时间 参加 她 的 派对 ， 另外 ， 我 也 不 太 感 兴趣	wǒ méiyǒu shíjiān cānjiā tā de pàiduì, lìngwài, wǒ yě bù tài gǎn xìngqù	I don't have time to attend her party, besides, I'm not too interested.
放松	to relax	fàng sōng	你 工作 很 累，现在 可以 放松 一下 了。	nǐ gōngzuò hěn lèi, xiànzài kěyǐ fàngsōng yīxià le.	You've worked very hard, you can relax a bit now.
丢	to lose	diū	你 看见 我 的 手机 了 吗？我 的 手机 丢 了！	nǐ kànjiàn wǒ de shǒujī le ma? Wǒ de shǒujī diū le!	Have you seen my phone? My phone is lost!
凶手	murderer	xiōng shǒu	警察 还 没有 找到 杀了 那 个 女人 的 凶手。	jǐngchá hái méiyǒu zhǎodào shāle nàgè nǚrén de xiōngshǒu	The police have not yet found the murderer who killed that woman.
负责	to be responsible for	fù zé	这 件 事 是 你 做 的，你 要 负责。	zhè jiàn shì shì nǐ zuò de, nǐ yào fùzé.	You did this, you need to take responsibility.
命	life	mìng	医生 说 他 的 命 很 危险。	yīshēng shuō tā de mìng hěn wēixiǎn	The doctor said his life was in danger.
碰	to touch; to bump	pèng	这 个 很 贵，请 不要 碰！	zhè ge hěn guì, qǐng bùyào pèng!	This is very expensive, please don't touch it!
介意	to mind	jiè yì	如果 我 在 这里 坐下，你 介意 吗？	rúguǒ wǒ zài zhèlǐ zuòxià, nǐ jièyì ma?	If I sit down here, do you mind?
梦	dream	mèng	我 昨晚 做 了 一 个 梦，梦 到 我 会 飞。	wǒ zuówǎn zuò le yī gè mèng, mèngdào wǒ huì fēi.	I had a dream last night, I dreamed I could fly.
试试	to try	shì shi	这 件 衣服 有点 小，你 要 不要 试试 大 一点 的？	zhè jiàn yīfu yǒudiǎn xiǎo, nǐ yào bu yào shìshi dà yīdiǎn de?	This piece of clothing is a bit small, do you want to try a larger one?
系统	system	xì tǒng	地铁 系统 今天 停了，大家 都 坐 公交车	dìtiě xìtǒng jīntiān tíngle, dàjiā dōu zuò gōngjiāo chē	The subway system stopped today; everyone is taking the bus
滚	to roll; to go away	gǔn	他 很 生气，对 我 说：“滚！”。	tā hěn shēngqì, duì wǒ shuō: "Gǔn!"	He was very angry and said to me: "Go away!"
谋杀	murder	móu shā	那 个 男人 因为 谋杀 被 警察 抓 了。	nà gè nánrén yīnwèi móushā bèi jǐngchá zhuā le.	That man was caught by the police for murder.
戴	to wear (accessories)	dài	她 喜欢 戴 她 妈妈 的 手表。	tā xǐhuan dài tā māma de shǒubiǎo.	She likes to wear her mother's watch.
受伤	shòu shāng	to be injured	我 的 腿 受伤 了，不能 走 太 远	wǒ de tuǐ shòushāng le, bùnéng zǒu tài yuǎn	My leg is injured, I can't walk too far.
各位	everyone	gè wèi	各位，请 到 这边 来！	gèwèi, qǐng dào zhèbiān lái!	Everyone, please come over here!
错误	mistake	cuò wù	这个 不是 我 的 问题，而是 你 的 错误	zhège bùshì wǒ de wèntí, ér shì nǐ de cuòwù	This is not my problem, rather your mistake.
随便	casual; informal	suí biàn	你 可以 随便 坐。	nǐ kěyǐ suíbiàn zuò.	You can sit anywhere (casually).
藏	to hide	cáng	你 把 我 的 手机 藏 在 哪里 了？	nǐ bǎ wǒ de shǒujī cáng zài nǎli le?	Where did you hide my phone?
底	bottom; end	dǐ	这 个 月底 我 要 去 北京。	zhè ge yuèdǐ wǒ yào qù Běijīng.	I'm going to Beijing at the end of this month.
干吗	why; what for	gàn má	你 去 那里 干吗，这么 晚 了？	nǐ qù nàli gànmá, zhème wǎn le?	What are you doing, going there so late?
情	feeling; emotion	qíng	她 今天 的 心情 不 好。	tā jīntiān de xīnqíng bù hǎo.	Her mood is not good today.
报告	report; to report	bào gào	他 在 写 工作 报告。	tā zài xiě gōngzuò bàogào.	He is writing a work report.
从没	have never	cóng méi	我 从没 去 过 美国。	wǒ cóngméi qùguò Měiguó.	I have never been to America.
替	to substitute for; for	tì	今天 我 可以 替 你 上班 吗？	jīntiān wǒ kěyǐ tì nǐ shàngbān ma?	Can I take your shift (at work) today?
经历	experience; to go through	jīng lì	这 次 旅行 是 一 个 很 好 的 经历。	zhè cì lǚxíng shì yī gè hěn hǎo de jīnglì.	This trip is a very good experience.
气	air	qì	这里 的 空气 很 好。	zhèli de kōngqì hěn hǎo.	The air here is very good.
不用	need not	bù yòng	你 不用 说，我 已经 知道 了。	nǐ bùyòng shuō, wǒ yǐjīng zhīdào le.	You don't need to say it, I already know.
人类	mankind	rén lèi	这 不 是 一个 人 的 问题，是 人类 的 问题。	zhè bù shì yī gè rén de wèntí, shì rénlèi de wèntí.	This is not a problem of one person, it is a problem of mankind.
冲	to charge; to rush	chōng	他 冲 我 笑 了 一下。	tā chōng wǒ xiào le yīxià.	He rushed over and gave me a smile.
自由	freedom; free	zì yóu	在 这里 你 可以 自由 说话。	zài zhèli nǐ kěyǐ zìyóu shuōhuà.	You can speak freely here.
支持	to support	zhī chí	我 的 朋友 都 很 支持 我。	wǒ de péngyou dōu hěn zhīchí wǒ.	My friends are all very supportive of me.
毁	to destroy; to ruin	huǐ	他 太 生气 了，把 门 毁 了。	tā tài shēngqì le, bǎ mén huǐ le.	He was so angry that he destroyed the door.
建议	to suggest; suggestion	jiàn yì	医生 建议 我 多 休息。	yīshēng jiànyì wǒ duō xiūxi.	The doctor suggested that I rest more.
套	(measure word for sets)	tào	我 有 一 套 新 的 衣服。	wǒ yǒu yī tào xīn de yīfu.	I have a new set of clothes.
晚安	good night	wǎn ān	妈妈，我 要 去 睡觉 了，晚安。	māma, wǒ yào qù shuìjiào le, wǎn'ān.	Mom, I'm going to bed, good night.
否则	otherwise	fǒu zé	你 现在 要 走，否则 商店 会 关门。	nǐ xiànzài yào zǒu, fǒuzé shāngdiàn huì guānmén.	You need to leave now, otherwise the store will close.
病	illness; to get sick	bìng	他 生病 了，不 能 去 上班。	tā shēngbìng le, bù néng qù shàngbān.	He is sick and cannot go to work.
线	line; thread	xiàn	这 条 线 可以 用 来 做 什么？	zhè tiáo xiàn kěyǐ yòng lái zuò shénme?	What can this line be used for?
光	light; ray	guāng	房间 里 没有 光。	fángjiān lǐ méiyǒu guāng.	There is no light in the room.
安排	to arrange; arrangement	ān pái	我 安排 了 明天 和 朋友 见面。	wǒ ānpái le míngtiān hé péngyou jiànmiàn.	I arranged to meet with friends tomorrow.
神	god; deity	shén	你 相信 有 神 吗？	nǐ xiāngxìn yǒu shén ma?	Do you believe there are gods?
操	damn	cāo	我 的 手机 坏 了，操！	wǒ de shǒujī huài le, cāo!	My phone is broken, damn it!
姑娘	young woman	gū niang	那 个 头发 很 长 的 姑娘 很 漂亮。	nà ge tóufa hěn cháng de gūniang hěn piàoliang.	That young woman with very long hair is very beautiful.
道	way; method	dào	你 知 不 知道 去 你 家 的 道？	nǐ zhī bu zhīdào qù nǐ jiā de dào?	Do you know the way to your house?
按	according to; to press	àn	你 可以 按 这 个 开始。	nǐ kěyǐ àn zhè ge kāishǐ.	You can press this to start.
钥匙	key	yào shi	这 是 我 家 的 钥匙。	zhè shì wǒ jiā de yàoshi.	This is the key to my house.
法官	judge	fǎ guān	那 个 男人 对 法官 说 他 没有 偷 东西。	nà ge nánrén duì fǎguān shuō tā méiyǒu tōu dōngxi.	That man told the judge he did not steal anything.
自	from; since	zì	他 自 北京 来。	tā zì Běijīng lái	He comes from Beijing.
选手	contestant; player	xuǎn shǒu	这 个 篮球 选手 很 不错。	zhè ge lánqiú xuǎnshǒu hěn bùcuò.	This basketball player is very good.
信息	information	xìn xī	我 给 你 发 了 一 个 重要 信息。	wǒ gěi nǐ fā le yī gè zhòngyào xìnxī.	I sent you an important message.
